[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg. ENSG00000185028

## TCGA_VERSIONED.SOMATIC_MUTATION_HG38_GDC_R6
GDC_FILTER: TEXT | GDC filters applied universally across all MAFs
ExAC_AF_AMR: TEXT | American Allele Frequency from ExAC
PHENO: TEXT | Indicates if existing variant is associated with a phenotype, disease or trait (0, 1, or null)
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
MC3_Overlap: TEXT | Indicates whether this region overlaps with an MC3 variant for the same sample pair
Exon_Number: TEXT | The exon number (out of total number)
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
AMR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
t_alt_count: TEXT | Read depth supporting the variant allele in tumor BAM
Score: TEXT | Not in use
INTRON: TEXT | The intron number (out of total number)
ExAC_AF: TEXT | Global Allele Frequency from ExAC
UNIPARC: TEXT | UniParc identifier of protein product
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh38)
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
Mutation_Status: TEXT | An assessment of the mutation as somatic, germline, LOH, post transcriptional modification, unknown, or none. The values allowed in this field are constrained by the value in the Validation_Status field
gdc_vcf_uuid: TEXT | Unique GDC identifier for the underlying vcf file
gdc_tumor_sample_uuid: TEXT | Unique GDC identifier for the underlying tumor sample
GENE_PHENO: TEXT | Indicates if gene that the variant maps to is associated with a phenotype, disease or trait (0, 1, or null)
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
MINIMISED: TEXT | Alleles in this variant have been converted to minimal representation before consequence calculation (1 or null)
gdc_normal_bam_uuid: TEXT | Unique GDC identifier for the underlying normal bam file
COSMIC: TEXT | Overlapping COSMIC variants
BAM_File: TEXT | Name of the bam file. Not in use in this table.
PICK: TEXT | Indicates if this block of consequence data was picked by VEP's   pick feature (1 or null)
DOMAINS: TEXT | The source and identifier of any overlapping protein domains
EAS_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
Validation_Method: TEXT | The assay platforms used for the validation call
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
gdc_normal_sample_uuid: TEXT | Unique GDC identifier for the underlying normal sample
Center: TEXT | One or more genome sequencing center reporting the variant
DISTANCE: NUMBER | Shortest distance from the variant to transcript
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
ENSP: TEXT | The Ensembl protein identifier of the affected transcript
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
Validation_Status: TEXT | Second pass results from orthogonal technology
MOTIF_NAME: TEXT | The source and identifier of a transcription factor binding profile aligned at this position
n_ref_count: TEXT | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
ExAC_AF_NFE: TEXT | Non-Finnish European Allele Frequency from ExAC
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
AA_MAF: TEXT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
SIFT: TEXT | The   SIFT prediction and/or score, with both given as prediction (score)
ExAC_AF_FIN: TEXT | Finnish Allele Frequency from ExAC
Protein_position: TEXT | Relative position of affected amino acid in protein. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
Hugo_Symbol: TEXT | HUGO symbol for the gene (HUGO symbols are always in all caps). Unknown is used for regions that do not correspond to a gene
SAS_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
Tumor_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
AFR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
t_depth: TEXT | Read depth across this locus in tumor BAM
ALLELE_NUM: TEXT | Allele number from input; 0 is reference, 1 is first alternate etc.
TRANSCRIPT_STRAND: NUMBER | The DNA strand (1 or -1) on which the transcript/feature lies
EXON: TEXT | The exon number (out of total number)
ExAC_AF_SAS: TEXT | South Asian Allele Frequency from ExAC
SYMBOL: TEXT | Eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown
Codons: TEXT | The alternative codons with the variant base in upper case
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
n_depth: TEXT | Read depth across this locus in normal BAM
Amino_acids: TEXT | Amino acid substitution caused by the mutation. Only given if the variation affects the protein-coding sequence
IMPACT: TEXT | The impact modifier for the consequence type
Gene: TEXT | The gene symbol. In this table, gene symbol is simulated data e.g. ENSG00000251562
cDNA_position: TEXT | Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
Verification_Status: TEXT | Second pass results from independent attempt using same methods as primary data source. Generally reserved for 3730 Sanger Sequencing
HGVSp: TEXT | The protein sequence of the variant in HGVS recommended format. p.= signifies no change in the protein
ExAC_AF_Adj: TEXT | Adjusted Global Allele Frequency from ExAC
Existing_variation: TEXT | Known identifier of existing variation
Match_Norm_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 2 (cleared in somatic MAF)
GDC_Validation_Status: TEXT | GDC implementation of validation checks. See notes section (#5) below for details
Reference_Allele: TEXT | The plus strand reference allele at this position. Includes the deleted sequence for a deletion or - for an insertion
PUBMED: TEXT | Pubmed ID(s) of publications that cite existing variant
FILTER: TEXT | Copied from input VCF. This includes filters implemented directly by the variant caller and other external software used in the DNA-Seq pipeline. See below for additional details.
HGVSc: TEXT | The coding sequence of the variant in HGVS recommended format
EUR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
Sequencing_Phase: TEXT | TCGA sequencing phase (if applicable). Phase should change under any circumstance that the targets under consideration change
sample_barcode_tumor: TEXT | TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
ExAC_AF_OTH: TEXT | Other Allele Frequency from ExAC
BIOTYPE: TEXT | Biotype of transcript
ExAC_AF_AFR: TEXT | African/African American Allele Frequency from ExAC
Consequence: TEXT | Consequence type of this variant;   sequence ontology terms
Entrez_Gene_Id: NUMBER | Entrez gene ID (an integer). 0 is used for regions that do not correspond to a gene region or Ensembl ID
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)
Match_Norm_Seq_Allele1: TEXT | Primary data genotype. Matched normal sequencing allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
EA_MAF: TEXT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
End_Position: NUMBER | Highest numeric genomic position of the reported variant on the genomic reference sequence. Mutation end coordinate
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
Allele: TEXT | The variant allele used to calculate the consequence
HGNC_ID: TEXT | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
dbSNP_Val_Status: TEXT | The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple
ASN_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined Asian population
GMAF: FLOAT | Non-reference allele and frequency of existing variant in   1000 Genomes
Chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
ExAC_AF_EAS: TEXT | East Asian Allele Frequency from ExAC
VARIANT_CLASS: TEXT | Sequence Ontology variant class
HGVS_OFFSET: NUMBER | Indicates by how many bases the HGVS notations for this variant have been shifted
HGVSp_Short: TEXT | Same as the HGVSp column, but using 1-letter amino-acid codes
Match_Norm_Seq_Allele2: TEXT | Matched normal sequencing allele 2
all_effects: TEXT | A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])
CONTEXT: TEXT | The reference allele per VCF specs, and its five flanking base pairs
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
callerName: TEXT | |-delimited list of mutation caller(s) that agreed on this particular call, always in alphabetical order: muse, mutect, somaticsniper, varscan
RefSeq: TEXT | RefSeq identifier for this transcript
PolyPhen: TEXT | The PolyPhen prediction and/or score
gdc_case_uuid: TEXT | Unique GDC identifier for the underlying case
TSL: NUMBER | Transcript support level, which is based on independent RNA analyses
CCDS: TEXT | The  CCDS identifier for this transcript, where applicable
gdc_tumor_bam_uuid: TEXT | Unique GDC identifier for the underlying tumor bam file
Feature: TEXT | Stable Ensembl ID of feature (transcript, regulatory, motif)
Feature_type: TEXT | Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (or blank)
